番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0252,キモリ,Treecko,Geckarbor,Arcko,나무지기,木守宫,木守宮
0253,ジュプトル,Grovyle,Reptain,Massko,나무돌이,森林蜥蜴,森林蜥蜴
0254,ジュカイン,Sceptile,Gewaldro,Jungko,나무킹,蜥蜴王,蜥蜴王
0255,アチャモ,Torchic,Flemmli,Poussifeu,아차모,火稚鸡,火稚雞
0256,ワカシャモ,Combusken,Jungglut,Galifeu,영치코,力壮鸡,力壯雞
0257,バシャーモ,Blaziken,Lohgock,Braségali,번치코,火焰鸡,火焰雞
0258,ミズゴロウ,Mudkip,Hydropi,Gobou,물짱이,水跃鱼,水躍魚
0259,ヌマクロー,Marshtomp,Moorabbel,Flobio,늪짱이,沼跃鱼,沼躍魚
0260,ラグラージ,Swampert,Sumpex,Laggron,대짱이,巨沼怪,巨沼怪
0261,ポチエナ,Poochyena,Fiffyen,Medhyèna,포챠나,土狼犬,土狼犬
0262,グラエナ,Mightyena,Magnayen,Grahyèna,그라에나,大狼犬,大狼犬
0263,ジグザグマ,Zigzagoon,Zigzachs,Zigzaton,지그제구리,蛇纹熊,蛇紋熊
0264,マッスグマ,Linoone,Geradaks,Linéon,직구리,直冲熊,直衝熊
0265,ケムッソ,Wurmple,Waumpel,Chenipotte,개무소,刺尾虫,刺尾蟲
0266,カラサリス,Silcoon,Schaloko,Armulys,실쿤,甲壳茧,甲殼繭
0267,アゲハント,Beautifly,Papinella,Charmillon,뷰티플라이,狩猎凤蝶,狩獵鳳蝶
0268,マユルド,Cascoon,Panekon,Blindalys,카스쿤,盾甲茧,盾甲繭
0269,ドクケイル,Dustox,Pudox,Papinox,독케일,毒粉蛾,毒粉蛾
0270,ハスボー,Lotad,Loturzel,Nénupiot,연꽃몬,莲叶童子,蓮葉童子
0271,ハスブレロ,Lombre,Lombrero,Lombre,로토스,莲帽小童,蓮帽小童
0272,ルンパッパ,Ludicolo,Kappalores,Ludicolo,로파파,乐天河童,樂天河童
0273,タネボー,Seedot,Samurzel,Grainipiot,도토링,橡实果,橡實果
0274,コノハナ,Nuzleaf,Blanas,Pifeuil,잎새코,长鼻叶,長鼻葉
0275,ダーテング,Shiftry,Tengulist,Tengalice,다탱구,狡猾天狗,狡猾天狗
0276,スバメ,Taillow,Schwalbini,Nirondelle,테일로,傲骨燕,傲骨燕
0277,オオスバメ,Swellow,Schwalboss,Hélédelle,스왈로,大王燕,大王燕
0278,キャモメ,Wingull,Wingull,Goélise,갈모매,长翅鸥,長翅鷗
0279,ペリッパー,Pelipper,Pelipper,Bekipan,패리퍼,大嘴鸥,大嘴鷗
0280,ラルトス,Ralts,Trasla,Tarsal,랄토스,拉鲁拉丝,拉魯拉絲
0281,キルリア,Kirlia,Kirlia,Kirlia,킬리아,奇鲁莉安,奇魯莉安
0282,サーナイト,Gardevoir,Guardevoir,Gardevoir,가디안,沙奈朵,沙奈朵
0283,アメタマ,Surskit,Gehweiher,Arakdo,비구술,溜溜糖球,溜溜糖球
0284,アメモース,Masquerain,Maskeregen,Maskadra,비나방,雨翅蛾,雨翅蛾
